algo,variant,dataset,mode,ram_cap_bytes,params_json,threads,n_trials,recall10_median,recall10_iqr,mean_ms_median,mean_ms_iqr,qps_median,qps_iqr,bytes_read_per_query_median,bytes_read_per_query_iqr,ios_per_query_median,ios_per_query_iqr,p99_ms_median,p99_ms_iqr,pareto_group
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 10, ""W"": 4}",1,1,70.136,0.0,0.6069,0.0,1645.8052,0.0,154535.1,0.0,31.0918,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 20, ""W"": 1}",1,1,85.909,0.0,1.6652,0.0,600.2506,0.0,176839.1,0.0,27.8545,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 20, ""W"": 2}",1,1,86.316,0.0,1.0727,0.0,931.5947,0.0,180681.5,0.0,31.6806,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 20, ""W"": 4}",1,1,87.071,0.0,0.8074,0.0,1237.3551,0.0,188886.2,0.0,39.7036,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 30, ""W"": 1}",1,1,92.131,0.0,2.3233,0.0,430.2744,0.0,215368.5,0.0,37.4256,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 30, ""W"": 2}",1,1,92.361,0.0,1.4533,0.0,687.7124,0.0,218279.5,0.0,41.0802,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 30, ""W"": 4}",1,1,92.754,0.0,1.0073,0.0,992.0109,0.0,225486.0,0.0,48.712,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 50, ""W"": 1}",1,1,96.579,0.0,3.675,0.0,272.05,0.0,293641.8,0.0,56.9678,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 50, ""W"": 2}",1,1,96.663,0.0,2.2225,0.0,449.7911,0.0,296216.2,0.0,60.4272,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 50, ""W"": 4}",1,1,96.775,0.0,1.4445,0.0,691.9064,0.0,301224.3,0.0,67.5912,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 75, ""W"": 1}",1,1,98.313,0.0,5.3686,0.0,186.2381,0.0,392854.7,0.0,81.6518,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 75, ""W"": 2}",1,1,98.336,0.0,3.1902,0.0,313.376,0.0,394752.8,0.0,84.9583,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 75, ""W"": 4}",1,1,98.393,0.0,2.0026,0.0,499.1379,0.0,399013.1,0.0,91.8178,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 100, ""W"": 1}",1,1,99.044,0.0,7.0502,0.0,141.8227,0.0,492264.7,0.0,106.4655,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 100, ""W"": 2}",1,1,99.049,0.0,4.158,0.0,240.4546,0.0,493857.2,0.0,109.6487,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 100, ""W"": 4}",1,1,99.08,0.0,2.5821,0.0,387.1531,0.0,497407.2,0.0,116.2921,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 150, ""W"": 1}",1,1,99.573,0.0,10.5026,0.0,95.2057,0.0,691849.6,0.0,156.2161,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 150, ""W"": 2}",1,1,99.581,0.0,6.3529,0.0,157.3879,0.0,692950.2,0.0,159.2673,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 150, ""W"": 4}",1,1,99.594,0.0,3.7148,0.0,269.1286,0.0,695668.3,0.0,165.6202,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 200, ""W"": 1}",1,1,99.752,0.0,13.8808,0.0,72.0371,0.0,891453.0,0.0,206.0454,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 200, ""W"": 2}",1,1,99.753,0.0,8.0659,0.0,123.9646,0.0,892425.4,0.0,208.9993,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,warm,,"{""L"": 200, ""W"": 4}",1,1,99.756,0.0,4.8391,0.0,206.6101,0.0,894611.9,0.0,215.1634,0.0,,,diskann|diskann_uint8_pq32|sift10m|warm||1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 10, ""W"": 1}",1,1,68.038,0.0,1.3573,0.0,736.3732,0.0,109864.1,0.0,18.428,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 10, ""W"": 2}",1,1,68.748,0.0,1.0088,0.0,990.5485,0.0,126550.0,0.0,22.5018,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 10, ""W"": 4}",1,1,70.136,0.0,0.9192,0.0,1087.0056,0.0,161595.0,0.0,31.0918,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 20, ""W"": 1}",1,1,85.909,0.0,2.0393,0.0,490.1893,0.0,148289.5,0.0,27.8545,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 20, ""W"": 2}",1,1,86.316,0.0,1.38,0.0,724.2761,0.0,163955.9,0.0,31.6806,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 20, ""W"": 4}",1,1,87.071,0.0,1.1347,0.0,880.7404,0.0,197011.5,0.0,39.7036,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 30, ""W"": 1}",1,1,92.131,0.0,2.7108,0.0,368.7844,0.0,187658.2,0.0,37.4256,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 30, ""W"": 2}",1,1,92.361,0.0,1.7549,0.0,569.5789,0.0,202651.2,0.0,41.0802,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 30, ""W"": 4}",1,1,92.754,0.0,1.334,0.0,749.1941,0.0,233563.3,0.0,48.712,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 50, ""W"": 1}",1,1,96.579,0.0,4.0976,0.0,243.9958,0.0,267451.2,0.0,56.9678,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 50, ""W"": 2}",1,1,96.663,0.0,2.5368,0.0,394.0793,0.0,281796.2,0.0,60.4272,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 50, ""W"": 4}",1,1,96.775,0.0,1.7769,0.0,562.5275,0.0,311187.9,0.0,67.5912,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 75, ""W"": 1}",1,1,98.313,0.0,5.844,0.0,171.0904,0.0,368736.7,0.0,81.6518,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 75, ""W"": 2}",1,1,98.336,0.0,3.5011,0.0,285.5607,0.0,382144.1,0.0,84.9583,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 75, ""W"": 4}",1,1,98.393,0.0,2.3413,0.0,426.9647,0.0,409878.1,0.0,91.8178,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 100, ""W"": 1}",1,1,99.044,0.0,7.6033,0.0,131.5062,0.0,470468.2,0.0,106.4655,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 100, ""W"": 2}",1,1,99.049,0.0,4.4888,0.0,222.7343,0.0,483208.8,0.0,109.6487,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_uint8_pq32,sift10m,ram_capped_4gb,4294967296,"{""L"": 100, ""W"": 4}",1,1,99.08,0.0,2.9184,0.0,342.5547,0.0,510066.7,0.0,116.2921,0.0,,,diskann|diskann_uint8_pq32|sift10m|ram_capped_4gb|4294967296|1
